name,country,region,rating,rating_count,price,source_sheet,vintage,producer_hint
Ceretto Arneis Langhe Blange 2019,Italië,Langhe,4.0,1629,54.99,Uruguay,2019.0,Ceretto
G.D. Vajra Albe Barolo 2012,Italië,Barolo,3.9,1599,168.3,Uruguay,2012.0,G.D.
Loredan Gasparini Asolo Prosecco Superiore N.V.,Italië,Asolo Prosecco,3.7,1587,29.0,Uruguay,,Loredan
Monogram Franciacorta Cuv√©e Blanc de Blancs Brut N.V.,Italië,Franciacorta,3.8,1584,60.0,Uruguay,,Monogram
Antinori Tenuta Tignanello 'Solaia' 2010,Italië,Toscane,4.6,1575,899.0,Uruguay,2010.0,Antinori
Col d'Orcia Brunello di Montalcino 2017,Italië,Brunello di Montalcino,4.2,1501,120.0,Uruguay,2017.0,Col
Ornellaia Bolgheri Superiore 2018,Italië,Bolgheri Superiore,4.6,1474,541.0,Uruguay,2018.0,Ornellaia
Tenuta CastelGiocondo Brunello di Montalcino 2017,Italië,Brunello di Montalcino,4.3,1458,136.0,Uruguay,2017.0,Tenuta
Fontodi Chianti Classico 2019,Italië,Chianti Classico,4.0,1435,87.98,Uruguay,2019.0,Fontodi
Feudi di San Gregorio Greco Di Tufo 2020,Italië,Greco di Tufo,3.9,1339,45.0,Uruguay,2020.0,Feudi
V8+ Sior Sandro Prosecco Extra Dry N.V.,Italië,Prosecco,3.9,1337,24.99,Uruguay,,V8+
Tenuta San Guido Le Difese 2020,Italië,Toscane,4.0,1330,79.0,Uruguay,2020.0,Tenuta
San Polo Brunello di Montalcino 2012,Italië,Brunello di Montalcino,4.2,1285,135.0,Uruguay,2012.0,San
Mezzacorona Mezza N.V.,Italië,Trentino-Zuid-Tirol,3.5,1259,25.0,Uruguay,,Mezzacorona
Antinori Villa Antinori Chianti Classico Riserva 2019,Italië,Chianti Classico,4.1,1247,48.0,Uruguay,2019.0,Antinori
Marchesi di Barolo Barolo (Tradizione) 2017,Italië,Barolo,4.2,1241,74.99,Uruguay,2017.0,Marchesi
Massolino Barolo 2017,Italië,Barolo,4.2,1236,109.98,Uruguay,2017.0,Massolino
Cantine Pellegrino Garibaldi Marsala Superiore Dolce N.V.,Italië,Marsala,3.6,1160,27.0,Uruguay,,Cantine
Piccini Solco da Uve Leggermente Appassite 2020,Italië,Toscane,4.0,1144,32.99,Uruguay,2020.0,Piccini
Fattoria le Pupille Morellino di Scansano 2018,Italië,Morellino di Scansano,3.7,1137,38.0,Uruguay,2018.0,Fattoria
Donnafugata Ben Ry√© Passito di Pantelleria 2018,Italië,Passito di Pantelleria,4.5,1127,93.0,Uruguay,2018.0,Donnafugata
G.D. Vajra Albe Barolo 2018,Italië,Barolo,4.1,1118,105.0,Uruguay,2018.0,G.D.
F√®lsina Fontalloro 2017,Italië,Toscane,4.3,1107,180.0,Uruguay,2017.0,F√®lsina
Guerrieri Guerriero della Terra 2019,Italië,Marche,4.4,1069,89.0,Uruguay,2019.0,Guerrieri
San Leonardo San Leonardo 2015,Italië,Vigneti delle Dolomiti,4.3,1040,225.75,Uruguay,2015.0,San
Luca Rossi Maron Appassimento Rosso 2018,Italië,Puglia,4.0,1025,27.99,Uruguay,2018.0,Luca
Castello Romitorio Brunello di Montalcino 2016,Italië,Brunello di Montalcino,4.3,1021,122.5,Uruguay,2016.0,Castello
Giovanni Rosso Barolo del Comune di Serralunga d'Alba 2017,Italië,Barolo,4.2,1009,122.29,Uruguay,2017.0,Giovanni
Bruno Giacosa Roero Arneis 2018,Italië,Roero,3.9,1009,63.0,Uruguay,2018.0,Bruno
Tenuta San Guido Guidalberto 2020,Italië,Toscane,4.2,1007,117.0,Uruguay,2020.0,Tenuta
Biondi-Santi Brunello di Montalcino 2011,Italië,Brunello di Montalcino,4.4,1005,455.0,Uruguay,2011.0,Biondi-Santi
Feudo Arancio Nero d'Avola Sicilia 2020,Italië,Sicilia,3.8,999,20.0,Uruguay,2020.0,Feudo
Tua Rita Rosso Dei Notri Toscana 2019,Italië,Toscane,3.8,993,63.96,Uruguay,2019.0,Tua
Tenuta San Guido Sassicaia 2019,Italië,Bolgheri Sassicaia,4.6,983,650.0,Uruguay,2019.0,Tenuta
Riccadonna Asti N.V.,Italië,Asti,4.0,982,22.54,Uruguay,,Riccadonna
Tosone Nero d'Avola 2019,Italië,Terre Siciliane,4.1,980,39.99,Uruguay,2019.0,Tosone
Feudi di San Gregorio Aglianico Rubrato 2019,Italië,Irpinia,3.6,980,38.0,Uruguay,2019.0,Feudi
Viberti Giovanni Buon Padre Barolo 2016,Italië,Barolo,4.2,968,230.0,Uruguay,2016.0,Viberti
Antinori Tenuta Tignanello 'Solaia' 2017,Italië,Toscane,4.7,947,722.5,Uruguay,2017.0,Antinori
Antinori Castello della Sala Cervaro della Sala 2020,Italië,Umbrië,4.4,928,119.99,Uruguay,2020.0,Antinori
Tenuta Il Poggione Brunello di Montalcino 2017,Italië,Brunello di Montalcino,4.2,922,136.0,Uruguay,2017.0,Tenuta
Torrevento Nero Di Troia Castel Del Monte Riserva Ottagono 2014,Italië,Castel del Monte,4.0,920,70.0,Uruguay,2014.0,Torrevento
Isole e Olena Cepparello Red 2016,Italië,Toscane,4.4,918,203.63,Uruguay,2016.0,Isole
Isole e Olena Chianti Classico 2019,Italië,Chianti Classico,4.1,911,44.99,Uruguay,2019.0,Isole
Renato Ratti Barolo Marcenasco 2018,Italië,Barolo,4.2,905,175.5,Uruguay,2018.0,Renato
Luigi Einaudi Dogliani 2018,Italië,Dogliani,3.8,901,36.0,Uruguay,2018.0,Luigi
Massolino Nebbiolo Langhe 2019,Italië,Langhe,3.9,900,61.0,Uruguay,2019.0,Massolino
Corte Medicea Atos 2016,Italië,Costa Toscana,4.1,898,39.99,Uruguay,2016.0,Corte
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso 2013,Italië,Brunello di Montalcino,4.4,898,190.0,Uruguay,2013.0,Ciacci
Falesco Tellus Syrah 2019,Italië,Lazio,3.8,870,36.0,Uruguay,2019.0,Falesco
Michele Chiarlo Tortoniano Barolo 2016,Italië,Barolo,4.2,860,200.0,Uruguay,2016.0,Michele
Guerrieri Guerriero Nero 2019,Italië,Marche,4.1,857,45.0,Uruguay,2019.0,Guerrieri
Castello Pomino Pomino Bianco 2020,Italië,Pomino,3.8,852,40.0,Uruguay,2020.0,Castello
Tramin Selida Gew√ºrztraminer 2017,Italië,Südtirol - Alto Adige,4.0,827,55.0,Uruguay,2017.0,Tramin
Casanova di Neri Tenuta Nuova Brunello di Montalcino 2016,Italië,Brunello di Montalcino,4.5,816,295.0,Uruguay,2016.0,Casanova
La Spinetta Il Nero di Casanova Terre di Pisa Sangiovese 2017,Italië,Toscane,4.0,811,36.0,Uruguay,2017.0,La
Ceretto Barolo 2016,Italië,Barolo,4.2,809,191.25,Uruguay,2016.0,Ceretto
Speri Valpolicella Ripasso Classico Superiore 2013,Italië,Valpolicella Ripasso Classico,3.9,805,70.0,Uruguay,2013.0,Speri
Casanova di Neri Brunello di Montalcino 2017,Italië,Brunello di Montalcino,4.4,799,170.45,Uruguay,2017.0,Casanova
Altesino Brunello di Montalcino 2017,Italië,Brunello di Montalcino,4.2,794,145.0,Uruguay,2017.0,Altesino
Donnafugata Grillo Sur Sur 2020,Italië,Sicilia,3.9,788,43.0,Uruguay,2020.0,Donnafugata
Cantine Pellegrino Oro Marsala Superiore Riserva Dolce N.V.,Italië,Marsala,3.8,779,50.0,Uruguay,,Cantine
Zenato Alanera Rosso Veronese 2017,Italië,Rosso Veronese,3.9,779,34.0,Uruguay,2017.0,Zenato
Argiolas Is Argiolas Vermentino di Sardegna 2021,Italië,Vermentino di Sardegna,4.2,775,45.0,Uruguay,2021.0,Argiolas
Nervi Gattinara 2017,Italië,Gattinara,4.2,770,141.0,Uruguay,2017.0,Nervi
Tenuta Sette Ponti Oreno Toscana 2017,Italië,Toscane,4.3,760,204.0,Uruguay,2017.0,Tenuta
Livio Felluga Vertigo 2018,Italië,delle Venezie,3.8,758,43.0,Uruguay,2018.0,Livio
Massolino Barbera d'Alba 2020,Italië,Barbera d’Alba,3.9,758,48.0,Uruguay,2020.0,Massolino
Tenuta Perano Chianti Classico 2018,Italië,Chianti Classico,3.9,751,55.0,Uruguay,2018.0,Tenuta
F√®lsina Rancia Chianti Classico Riserva 2017,Italië,Chianti Classico,4.1,750,157.5,Uruguay,2017.0,F√®lsina
Planeta Etna Bianco 2018,Italië,De Etna,3.9,744,55.0,Uruguay,2018.0,Planeta
Massolino Barbera d'Alba 2019,Italië,Barbera d’Alba,3.8,738,48.0,Uruguay,2019.0,Massolino
Giovanni Rosso Langhe Nebbiolo 2017,Italië,Langhe,3.8,731,58.7,Uruguay,2017.0,Giovanni
Cantine Pellegrino Marsala Fine Rubino Dolce N.V.,Italië,Marsala,3.8,728,29.0,Uruguay,,Cantine
Zenato Valpolicella Superiore 2019,Italië,Valpolicella,3.9,728,36.0,Uruguay,2019.0,Zenato
Farnese Fantini Montepulciano d'Abruzzo 2020,Italië,Montepulciano d’Abruzzo,3.6,722,19.99,Uruguay,2020.0,Farnese
Isole e Olena Cepparello Red 2017,Italië,Toscane,4.4,713,187.0,Uruguay,2017.0,Isole
Livio Felluga Pinot Grigio 2020,Italië,Colli Orientali del Friuli,4.1,710,62.0,Uruguay,2020.0,Livio
Le Macchiole Bolgheri Rosso 2020,Italië,Bolgheri,4.1,705,64.99,Uruguay,2020.0,Le
Tenuta di Trinoro Toscana Le Cupole Rosso 2019,Italië,Toscane,4.0,704,77.0,Uruguay,2019.0,Tenuta
Giovanni Rosso Langhe Nebbiolo 2019,Italië,Langhe,4.0,702,59.5,Uruguay,2019.0,Giovanni
Pasqua Vigneti e Cantine Pinot Grigio delle Venezie 2021,Italië,delle Venezie,3.8,695,16.48,Uruguay,2021.0,Pasqua
Terlan (Terlano) Cuv√©e Terlaner (Classico) 2021,Italië,Südtirol - Alto Adige,4.0,670,51.0,Uruguay,2021.0,Terlan
Tua Rita Giusto di Notri Toscana 2016,Italië,Toscane,4.3,669,190.0,Uruguay,2016.0,Tua
Massolino Barolo 2018,Italië,Barolo,4.2,666,109.98,Uruguay,2018.0,Massolino
Contratto Millesimato Extra Brut 2011,Italië,Oltrepò Pavese,3.7,661,64.0,Uruguay,2011.0,Contratto
Argiolas Turriga Isola dei Nuraghi 2017,Italië,Isola dei Nuraghi,4.4,653,190.0,Uruguay,2017.0,Argiolas
Gaja Ca'Marcanda Bolgheri 2011,Italië,Bolgheri,4.2,652,421.88,Uruguay,2011.0,Gaja
Domenico Clerico Barolo 2016,Italië,Barolo,4.1,636,132.0,Uruguay,2016.0,Domenico
Feudi di San Gregorio Greco Di Tufo 2021,Italië,Greco di Tufo,3.9,631,45.0,Uruguay,2021.0,Feudi
Vietti Barolo Castiglione 2018,Italië,Barolo,4.2,614,142.98,Uruguay,2018.0,Vietti
Fattoria le Pupille Saffredi 2012,Italië,Maremma Toscana,4.3,614,253.13,Uruguay,2012.0,Fattoria
Planeta Sito dell'Ulmo Merlot 2013,Italië,Menfi,3.9,604,68.0,Uruguay,2013.0,Planeta
Arnaldo-Caprai Grecante Grechetto Colli Martani 2018,Italië,Colli Martani,3.7,602,34.0,Uruguay,2018.0,Arnaldo-Caprai
Querciabella Maremma Toscana Mongrana 2019,Italië,Maremma Toscana,3.9,602,41.63,Uruguay,2019.0,Querciabella
Frescobaldi R√®mole Rosso 2021,Italië,Toscane,3.7,601,30.0,Uruguay,2021.0,Frescobaldi
Vietti Moscato d'Asti 2021,Italië,Moscato d’Asti,4.2,596,43.98,Uruguay,2021.0,Vietti
Livio Felluga Sauvignon 2019,Italië,Colli Orientali del Friuli,4.0,591,62.0,Uruguay,2019.0,Livio
G.D. Vajra Barolo Bricco Delle Viole 2014,Italië,Barolo,4.2,590,178.88,Uruguay,2014.0,G.D.
Allegrini Palazzo della Torre 2019,Italië,Verona,4.1,586,54.98,Uruguay,2019.0,Allegrini
Aldo Conterno Barbera d'Alba Conca Tre Pile 2016,Italië,Barbera d’Alba,4.2,580,92.17,Uruguay,2016.0,Aldo
Torrevento Castel del Monte Bolonero 2019,Italië,Castel del Monte,3.7,572,27.0,Uruguay,2019.0,Torrevento
Planeta Cerasuolo di Vittoria 2019,Italië,Cerasuolo di Vittoria,3.7,568,39.0,Uruguay,2019.0,Planeta
Planeta Alastro 2017,Italië,Menfi,3.7,568,34.0,Uruguay,2017.0,Planeta
Wildfoot Winemaker's Selection Negroamaro - Zinfandel 2017,Italië,Puglia,3.8,567,16.99,Uruguay,2017.0,Wildfoot
Rocca di Frassinello Maremma Toscana Poggio Alla Guardia 2015,Italië,Maremma Toscana,3.8,563,38.0,Uruguay,2015.0,Rocca
